index,country
1,INDIA
2,CHINA
3,IRAN
4,SOUTH AFRICA
5,JAPAN
6,GREECE
7,INDONESIA
8,TURKEY
9,TAIWAN
10,ICELAND
11,AUSTRALIA
12,NICARAGUA
13,PHILIPPINES
14,RUSSIA
15,USA
16,TANZANIA
17,AFGHANISTAN
18,PANAMA
19,PAPUA NEW GUINEA
20,AZERBAIJAN
21,TURKMENISTAN
22,EL SALVADOR
23,PERU
24,CANADA
25,USA TERRITORY
26,BANGLADESH
27,VANUATU
28,TAJIKISTAN
29,CHILE
30,RWANDA
31,MEXICO
32,SERBIA
33,GEORGIA
34,ARGENTINA
35,GERMANY
36,FIJI
37,EGYPT
38,KYRGYZSTAN
39,ITALY
40,UK
41,FRANCE
42,CONGO
43,PAKISTAN
44,SOLOMON ISLANDS
45,BHUTAN
46,ALGERIA
47,INDIAN OCEAN
48,ANTARCTICA
49,NEW ZEALAND
50,MYANMAR (BURMA)
51,DOMINICAN REPUBLIC
52,BULGARIA
53,NEW CALEDONIA
54,SLOVAKIA
55,JORDAN
56,BURUNDI
57,MOROCCO
58,SAUDI ARABIA
59,SLOVENIA
60,POLAND
61,ROMANIA
62,COLOMBIA
63,COSTA RICA
64,GUADELOUPE
65,TRINIDAD AND TOBAGO
66,ECUADOR
67,SPAIN
68,ALBANIA
69,VIETNAM
70,ETHIOPIA
71,MOZAMBIQUE
72,TONGA
73,MALAWI
74,SAMOA
75,HUNGARY
76,SWITZERLAND
77,THAILAND
78,LAOS
79,GUATEMALA
80,MARTINIQUE
81,BRAZIL
82,KERMADEC ISLANDS (NEW ZEALAND)
83,LEBANON
84,VENEZUELA
85,ATLANTIC OCEAN
86,CZECH REPUBLIC
87,MACEDONIA
88,HONDURAS
89,KAZAKHSTAN
90,HAITI
91,NEPAL
92,UZBEKISTAN
93,BOSNIA-HERZEGOVINA
94,MALAYSIA
95,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS
96,SOUTH KOREA
97,MADAGASCAR
